{'loss': 0.4451, 'learning_rate': 1.9968229827774294e-05, 'epoch': 0.05}
{'loss': 1.2536, 'learning_rate': 1.9968189999220014e-05, 'epoch': 0.05}
{'loss': 1.1699, 'learning_rate': 1.9968150145755684e-05, 'epoch': 0.05}
{'loss': 0.791, 'learning_rate': 1.9968110267381403e-05, 'epoch': 0.05}
{'loss': 0.9875, 'learning_rate': 1.9968070364097272e-05, 'epoch': 0.05}
{'loss': 1.2311, 'learning_rate': 1.9968030435903393e-05, 'epoch': 0.05}
{'loss': 0.7666, 'learning_rate': 1.996799048279986e-05, 'epoch': 0.05}
{'loss': 1.2081, 'learning_rate': 1.996795050478678e-05, 'epoch': 0.05}
{'loss': 1.2071, 'learning_rate': 1.9967910501864246e-05, 'epoch': 0.05}
{'loss': 0.4738, 'learning_rate': 1.9967870474032364e-05, 'epoch': 0.05}
{'loss': 1.2378, 'learning_rate': 1.9967830421291227e-05, 'epoch': 0.05}
{'loss': 0.7028, 'learning_rate': 1.996779034364094e-05, 'epoch': 0.05}
{'loss': 1.2397, 'learning_rate': 1.9967750241081605e-05, 'epoch': 0.05}
{'loss': 0.825, 'learning_rate': 1.9967710113613315e-05, 'epoch': 0.05}
{'loss': 1.3291, 'learning_rate': 1.9967669961236177e-05, 'epoch': 0.05}
{'loss': 0.9266, 'learning_rate': 1.996762978395029e-05, 'epoch': 0.05}
{'loss': 0.7864, 'learning_rate': 1.9967589581755752e-05, 'epoch': 0.05}
{'loss': 1.2539, 'learning_rate': 1.9967549354652663e-05, 'epoch': 0.05}
{'loss': 0.3535, 'learning_rate': 1.9967509102641128e-05, 'epoch': 0.05}
{'loss': 1.184, 'learning_rate': 1.9967468825721247e-05, 'epoch': 0.05}
{'loss': 0.9547, 'learning_rate': 1.9967428523893115e-05, 'epoch': 0.05}
{'loss': 1.3553, 'learning_rate': 1.9967388197156837e-05, 'epoch': 0.05}
{'loss': 1.1905, 'learning_rate': 1.9967347845512513e-05, 'epoch': 0.05}
{'loss': 0.5832, 'learning_rate': 1.9967307468960245e-05, 'epoch': 0.05}
{'loss': 0.919, 'learning_rate': 1.996726706750013e-05, 'epoch': 0.05}
{'loss': 1.1936, 'learning_rate': 1.9967226641132277e-05, 'epoch': 0.06}
{'loss': 1.0386, 'learning_rate': 1.996718618985678e-05, 'epoch': 0.06}
{'loss': 1.0087, 'learning_rate': 1.996714571367374e-05, 'epoch': 0.06}
{'loss': 1.0146, 'learning_rate': 1.996710521258326e-05, 'epoch': 0.06}
{'loss': 0.9436, 'learning_rate': 1.996706468658544e-05, 'epoch': 0.06}
{'loss': 0.6126, 'learning_rate': 1.9967024135680386e-05, 'epoch': 0.06}
{'loss': 0.9683, 'learning_rate': 1.9966983559868196e-05, 'epoch': 0.06}
{'loss': 1.2522, 'learning_rate': 1.996694295914897e-05, 'epoch': 0.06}
{'loss': 1.3789, 'learning_rate': 1.996690233352281e-05, 'epoch': 0.06}
{'loss': 0.8938, 'learning_rate': 1.996686168298982e-05, 'epoch': 0.06}
{'loss': 0.8262, 'learning_rate': 1.9966821007550097e-05, 'epoch': 0.06}
{'loss': 0.4909, 'learning_rate': 1.9966780307203748e-05, 'epoch': 0.06}
{'loss': 0.8632, 'learning_rate': 1.9966739581950873e-05, 'epoch': 0.06}
{'loss': 0.6491, 'learning_rate': 1.996669883179157e-05, 'epoch': 0.06}
{'loss': 1.2362, 'learning_rate': 1.9966658056725947e-05, 'epoch': 0.06}
{'loss': 1.4325, 'learning_rate': 1.99666172567541e-05, 'epoch': 0.06}
{'loss': 1.1822, 'learning_rate': 1.9966576431876134e-05, 'epoch': 0.06}
{'loss': 0.3264, 'learning_rate': 1.9966535582092153e-05, 'epoch': 0.06}
{'loss': 1.1205, 'learning_rate': 1.9966494707402252e-05, 'epoch': 0.06}
{'loss': 0.784, 'learning_rate': 1.9966453807806544e-05, 'epoch': 0.06}
{'loss': 1.1365, 'learning_rate': 1.996641288330512e-05, 'epoch': 0.06}
{'loss': 1.0822, 'learning_rate': 1.996637193389809e-05, 'epoch': 0.06}
{'loss': 0.6719, 'learning_rate': 1.9966330959585555e-05, 'epoch': 0.06}
{'loss': 0.5841, 'learning_rate': 1.9966289960367615e-05, 'epoch': 0.06}
{'loss': 1.176, 'learning_rate': 1.996624893624437e-05, 'epoch': 0.06}
{'loss': 1.3497, 'learning_rate': 1.996620788721593e-05, 'epoch': 0.06}
{'loss': 0.9912, 'learning_rate': 1.9966166813282393e-05, 'epoch': 0.06}
{'loss': 1.0551, 'learning_rate': 1.996612571444386e-05, 'epoch': 0.06}
{'loss': 1.4971, 'learning_rate': 1.996608459070044e-05, 'epoch': 0.06}
{'loss': 1.1471, 'learning_rate': 1.9966043442052227e-05, 'epoch': 0.06}
{'loss': 0.9437, 'learning_rate': 1.996600226849933e-05, 'epoch': 0.06}
{'loss': 1.0987, 'learning_rate': 1.9965961070041854e-05, 'epoch': 0.06}
{'loss': 1.2944, 'learning_rate': 1.9965919846679894e-05, 'epoch': 0.06}
{'loss': 0.6886, 'learning_rate': 1.9965878598413562e-05, 'epoch': 0.06}
{'loss': 0.9076, 'learning_rate': 1.9965837325242955e-05, 'epoch': 0.06}
{'loss': 0.7655, 'learning_rate': 1.9965796027168175e-05, 'epoch': 0.06}
{'loss': 1.1008, 'learning_rate': 1.996575470418933e-05, 'epoch': 0.06}
{'loss': 1.2256, 'learning_rate': 1.9965713356306523e-05, 'epoch': 0.06}
{'loss': 0.9745, 'learning_rate': 1.9965671983519854e-05, 'epoch': 0.06}
{'loss': 0.9032, 'learning_rate': 1.9965630585829426e-05, 'epoch': 0.06}
{'loss': 1.1299, 'learning_rate': 1.9965589163235345e-05, 'epoch': 0.06}
{'loss': 0.6326, 'learning_rate': 1.9965547715737713e-05, 'epoch': 0.06}
{'loss': 1.0639, 'learning_rate': 1.9965506243336635e-05, 'epoch': 0.06}
{'loss': 0.6119, 'learning_rate': 1.9965464746032216e-05, 'epoch': 0.06}
{'loss': 1.2803, 'learning_rate': 1.996542322382456e-05, 'epoch': 0.06}
{'loss': 0.8962, 'learning_rate': 1.9965381676713763e-05, 'epoch': 0.06}
{'loss': 1.2933, 'learning_rate': 1.9965340104699936e-05, 'epoch': 0.06}
{'loss': 1.4514, 'learning_rate': 1.996529850778318e-05, 'epoch': 0.06}
{'loss': 0.7692, 'learning_rate': 1.99652568859636e-05, 'epoch': 0.06}
{'loss': 1.2125, 'learning_rate': 1.9965215239241306e-05, 'epoch': 0.06}
{'loss': 0.4508, 'learning_rate': 1.9965173567616388e-05, 'epoch': 0.06}
{'loss': 1.1806, 'learning_rate': 1.9965131871088962e-05, 'epoch': 0.06}
{'loss': 1.1769, 'learning_rate': 1.9965090149659133e-05, 'epoch': 0.06}
{'loss': 1.1938, 'learning_rate': 1.9965048403326993e-05, 'epoch': 0.06}
{'loss': 1.4168, 'learning_rate': 1.996500663209266e-05, 'epoch': 0.06}
{'loss': 1.1607, 'learning_rate': 1.996496483595623e-05, 'epoch': 0.06}
{'loss': 0.9916, 'learning_rate': 1.996492301491781e-05, 'epoch': 0.06}
{'loss': 0.48, 'learning_rate': 1.9964881168977507e-05, 'epoch': 0.06}
{'loss': 1.2996, 'learning_rate': 1.996483929813542e-05, 'epoch': 0.06}
{'loss': 1.1131, 'learning_rate': 1.996479740239166e-05, 'epoch': 0.06}
{'loss': 1.1875, 'learning_rate': 1.9964755481746322e-05, 'epoch': 0.06}
{'loss': 1.2768, 'learning_rate': 1.9964713536199524e-05, 'epoch': 0.06}
{'loss': 0.9706, 'learning_rate': 1.996467156575136e-05, 'epoch': 0.06}
{'loss': 0.9542, 'learning_rate': 1.9964629570401942e-05, 'epoch': 0.06}
{'loss': 0.8582, 'learning_rate': 1.996458755015137e-05, 'epoch': 0.06}
{'loss': 1.2191, 'learning_rate': 1.996454550499975e-05, 'epoch': 0.06}
{'loss': 1.1104, 'learning_rate': 1.996450343494719e-05, 'epoch': 0.06}
{'loss': 0.9603, 'learning_rate': 1.996446133999379e-05, 'epoch': 0.06}
{'loss': 1.1349, 'learning_rate': 1.996441922013966e-05, 'epoch': 0.06}
{'loss': 0.8503, 'learning_rate': 1.99643770753849e-05, 'epoch': 0.06}
{'loss': 1.1226, 'learning_rate': 1.9964334905729624e-05, 'epoch': 0.06}
{'loss': 1.0712, 'learning_rate': 1.996429271117393e-05, 'epoch': 0.06}
{'loss': 0.6567, 'learning_rate': 1.9964250491717924e-05, 'epoch': 0.06}
{'loss': 0.7245, 'learning_rate': 1.9964208247361715e-05, 'epoch': 0.06}
{'loss': 0.918, 'learning_rate': 1.9964165978105406e-05, 'epoch': 0.06}
{'loss': 1.1783, 'learning_rate': 1.9964123683949107e-05, 'epoch': 0.06}
{'loss': 1.3432, 'learning_rate': 1.9964081364892916e-05, 'epoch': 0.06}
{'loss': 0.8684, 'learning_rate': 1.9964039020936944e-05, 'epoch': 0.06}
{'loss': 1.0953, 'learning_rate': 1.9963996652081294e-05, 'epoch': 0.06}
{'loss': 0.5165, 'learning_rate': 1.9963954258326073e-05, 'epoch': 0.06}
{'loss': 1.3493, 'learning_rate': 1.996391183967139e-05, 'epoch': 0.06}
{'loss': 1.3714, 'learning_rate': 1.996386939611735e-05, 'epoch': 0.06}
{'loss': 0.8848, 'learning_rate': 1.9963826927664054e-05, 'epoch': 0.06}
{'loss': 1.1796, 'learning_rate': 1.996378443431161e-05, 'epoch': 0.06}
{'loss': 0.9642, 'learning_rate': 1.9963741916060127e-05, 'epoch': 0.06}
{'loss': 1.142, 'learning_rate': 1.996369937290971e-05, 'epoch': 0.06}
{'loss': 1.4242, 'learning_rate': 1.996365680486047e-05, 'epoch': 0.06}
{'loss': 1.095, 'learning_rate': 1.9963614211912503e-05, 'epoch': 0.06}
{'loss': 0.8104, 'learning_rate': 1.996357159406592e-05, 'epoch': 0.06}
{'loss': 1.278, 'learning_rate': 1.9963528951320836e-05, 'epoch': 0.06}
{'loss': 1.1228, 'learning_rate': 1.9963486283677346e-05, 'epoch': 0.06}
{'loss': 0.7141, 'learning_rate': 1.996344359113556e-05, 'epoch': 0.06}
{'loss': 0.6088, 'learning_rate': 1.9963400873695585e-05, 'epoch': 0.06}
{'loss': 1.2213, 'learning_rate': 1.9963358131357532e-05, 'epoch': 0.06}
{'loss': 1.4537, 'learning_rate': 1.99633153641215e-05, 'epoch': 0.06}
{'loss': 1.3513, 'learning_rate': 1.9963272571987603e-05, 'epoch': 0.06}
{'loss': 0.6385, 'learning_rate': 1.9963229754955944e-05, 'epoch': 0.06}
{'loss': 0.7803, 'learning_rate': 1.996318691302663e-05, 'epoch': 0.06}
{'loss': 1.4377, 'learning_rate': 1.9963144046199768e-05, 'epoch': 0.06}
{'loss': 1.1054, 'learning_rate': 1.9963101154475467e-05, 'epoch': 0.06}
{'loss': 1.0029, 'learning_rate': 1.9963058237853835e-05, 'epoch': 0.06}
{'loss': 1.4953, 'learning_rate': 1.9963015296334974e-05, 'epoch': 0.06}
{'loss': 0.536, 'learning_rate': 1.9962972329919e-05, 'epoch': 0.06}
{'loss': 1.0494, 'learning_rate': 1.996292933860601e-05, 'epoch': 0.06}
{'loss': 0.5287, 'learning_rate': 1.996288632239612e-05, 'epoch': 0.06}
{'loss': 1.1565, 'learning_rate': 1.996284328128943e-05, 'epoch': 0.06}
{'loss': 1.0762, 'learning_rate': 1.9962800215286056e-05, 'epoch': 0.06}
{'loss': 1.2532, 'learning_rate': 1.9962757124386098e-05, 'epoch': 0.06}
{'loss': 1.0964, 'learning_rate': 1.996271400858967e-05, 'epoch': 0.06}
{'loss': 0.3182, 'learning_rate': 1.9962670867896876e-05, 'epoch': 0.06}
{'loss': 0.8217, 'learning_rate': 1.9962627702307822e-05, 'epoch': 0.06}
{'loss': 1.3279, 'learning_rate': 1.996258451182262e-05, 'epoch': 0.06}
{'loss': 1.0371, 'learning_rate': 1.996254129644138e-05, 'epoch': 0.06}
{'loss': 1.1506, 'learning_rate': 1.99624980561642e-05, 'epoch': 0.06}
{'loss': 0.4816, 'learning_rate': 1.9962454790991196e-05, 'epoch': 0.06}
{'loss': 1.1318, 'learning_rate': 1.9962411500922475e-05, 'epoch': 0.06}
{'loss': 1.1751, 'learning_rate': 1.9962368185958145e-05, 'epoch': 0.06}
{'loss': 1.063, 'learning_rate': 1.9962324846098317e-05, 'epoch': 0.06}
{'loss': 0.8764, 'learning_rate': 1.996228148134309e-05, 'epoch': 0.06}
{'loss': 1.3904, 'learning_rate': 1.9962238091692584e-05, 'epoch': 0.06}
{'loss': 1.1243, 'learning_rate': 1.9962194677146897e-05, 'epoch': 0.06}
{'loss': 0.4492, 'learning_rate': 1.9962151237706145e-05, 'epoch': 0.06}
{'loss': 0.835, 'learning_rate': 1.9962107773370435e-05, 'epoch': 0.06}
{'loss': 1.2717, 'learning_rate': 1.9962064284139873e-05, 'epoch': 0.06}
{'loss': 0.7192, 'learning_rate': 1.9962020770014573e-05, 'epoch': 0.06}
{'loss': 0.7435, 'learning_rate': 1.9961977230994636e-05, 'epoch': 0.06}
{'loss': 1.0679, 'learning_rate': 1.9961933667080177e-05, 'epoch': 0.06}
{'loss': 0.5012, 'learning_rate': 1.99618900782713e-05, 'epoch': 0.06}
{'loss': 1.1639, 'learning_rate': 1.9961846464568124e-05, 'epoch': 0.06}
{'loss': 0.97, 'learning_rate': 1.9961802825970743e-05, 'epoch': 0.06}
{'loss': 1.3219, 'learning_rate': 1.9961759162479277e-05, 'epoch': 0.06}
{'loss': 1.2744, 'learning_rate': 1.9961715474093827e-05, 'epoch': 0.06}
{'loss': 1.0939, 'learning_rate': 1.996167176081451e-05, 'epoch': 0.06}
{'loss': 0.8873, 'learning_rate': 1.9961628022641437e-05, 'epoch': 0.06}
{'loss': 1.1382, 'learning_rate': 1.9961584259574705e-05, 'epoch': 0.06}
{'loss': 0.5721, 'learning_rate': 1.9961540471614434e-05, 'epoch': 0.06}
{'loss': 0.8216, 'learning_rate': 1.9961496658760733e-05, 'epoch': 0.06}
{'loss': 1.1647, 'learning_rate': 1.996145282101371e-05, 'epoch': 0.06}
{'loss': 0.772, 'learning_rate': 1.9961408958373467e-05, 'epoch': 0.06}
{'loss': 0.6968, 'learning_rate': 1.9961365070840123e-05, 'epoch': 0.06}
{'loss': 0.7434, 'learning_rate': 1.9961321158413785e-05, 'epoch': 0.06}
{'loss': 0.6296, 'learning_rate': 1.9961277221094558e-05, 'epoch': 0.06}
{'loss': 0.8532, 'learning_rate': 1.9961233258882564e-05, 'epoch': 0.06}
{'loss': 0.2901, 'learning_rate': 1.9961189271777898e-05, 'epoch': 0.06}
{'loss': 1.2711, 'learning_rate': 1.9961145259780682e-05, 'epoch': 0.06}
{'loss': 1.1215, 'learning_rate': 1.9961101222891018e-05, 'epoch': 0.06}
{'loss': 1.037, 'learning_rate': 1.996105716110902e-05, 'epoch': 0.06}
{'loss': 0.8372, 'learning_rate': 1.9961013074434795e-05, 'epoch': 0.06}
